Date,Value
1984-06-29,239.65
1984-07-06,236.72
1984-07-13,234.67
1984-07-20,229.37
1984-07-27,229.3
1984-08-03,246.24
1984-08-10,252.43
1984-08-17,250.37
1984-08-24,254.78
1984-08-31,254.64
1984-09-07,251.68
1984-09-14,255.6
1984-09-21,252.68
1984-09-28,249.94
1984-10-05,245.46
1984-10-12,246.2
1984-10-19,251.2
1984-10-26,247.4
1984-11-02,248
1984-11-09,249.5
1984-11-16,245.1
1984-11-23,245.3
1984-11-30,242.4
1984-12-07,239.3
1984-12-14,239
1984-12-21,244.8
1984-12-28,245.9
1985-01-04,246.1
1985-01-11,252.2
1985-01-18,263.1
1985-01-25,274
1985-02-01,278.4
1985-02-08,288.4
1985-02-15,287.7
1985-02-22,286.2
1985-03-01,287.2
1985-03-08,282.4
1985-03-15,278
1985-03-22,278.9
1985-03-29,279.2
1985-04-04,277.4
1985-04-12,280.6
1985-04-19,282.8
1985-04-26,284.1
1985-05-03,280.3
1985-05-10,287.5
1985-05-17,291.7
1985-05-24,292.1
1985-05-31,290.8
1985-06-07,291
1985-06-14,288
1985-06-21,288.7
1985-06-28,296.2
1985-07-05,298.6
1985-07-12,302.4
1985-07-19,307.8
1985-07-26,304.6
1985-08-02,304.5
1985-08-09,299.1
1985-08-16,296.5
1985-08-23,296.7
1985-08-30,297.7
1985-09-06,296.2
1985-09-13,287.2
1985-09-20,284.4
1985-09-26,280.2
1985-10-04,280.5
1985-10-11,281.8
1985-10-18,288.4
1985-10-25,289.5
1985-11-01,294.1
1985-11-08,300
1985-11-15,306.2
1985-11-22,310.8
1985-11-29,314
1985-12-06,316.6
1985-12-13,324
1985-12-20,323.1
1985-12-27,322.8
1986-01-03,325.7
1986-01-10,324.4
1986-01-17,330.7
1986-01-24,328.9
1986-01-31,335.8
1986-02-07,342.2
1986-02-14,350.2
1986-02-21,355.65
1986-02-28,359.5
1986-03-07,362.2
1986-03-14,371.8
1986-03-21,372.6
1986-03-27,373.3
1986-04-04,372.2
1986-04-11,378.9
1986-04-18,390.1
1986-04-25,392.3
1986-05-02,383.2
1986-05-09,389.1
1986-05-16,384.7
1986-05-23,391.9
1986-05-30,400.2
1986-06-06,400.3
1986-06-13,399.6
1986-06-20,396.9
1986-06-27,403.6
1986-07-03,411.2
1986-07-11,391.6
1986-07-18,381.1
1986-07-25,379.8
1986-08-01,370.7
1986-08-08,365.8
1986-08-15,380.2
1986-08-22,381.5
1986-08-29,382.9
1986-09-05,378.4
1986-09-12,346.8
1986-09-19,349.4
1986-09-26,351.6
1986-10-03,352.8
1986-10-10,353.5
1986-10-17,355.7
1986-10-24,356.7
1986-10-31,360.8
1986-11-07,361
1986-11-14,358.5
1986-11-21,354.7
1986-11-28,359.6
1986-12-05,363
1986-12-12,355.9
1986-12-19,352.2
1986-12-26,349.9
1987-01-02,353.2
1987-01-09,380.7
1987-01-16,389.9
1987-01-23,392.2
1987-01-30,392.1
1987-02-06,406.9
1987-02-13,412.5
1987-02-20,417.2
1987-02-27,425
1987-03-06,429.5
1987-03-13,432
1987-03-20,439.6
1987-03-27,436.6
1987-04-03,437.4
1987-04-10,430.9
1987-04-16,419.5
1987-04-24,412.6
1987-05-01,418.4
1987-05-08,423.2
1987-05-15,418.9
1987-05-22,407.4
1987-05-29,416.5
1987-06-05,417.8
1987-06-12,425.4
1987-06-19,429.1
1987-06-26,426.7
1987-07-02,425.9
1987-07-10,426
1987-07-17,434.1
1987-07-24,429.1
1987-07-31,434.9
1987-08-07,443.6
1987-08-14,451.6
1987-08-21,455.2
1987-08-28,453.3
1987-09-4,446.5
1987-09-11,446.2
1987-09-18,440.9
1987-09-25,441.9
1987-10-02,451.6
1987-10-09,438.4
1987-10-16,406.3
1987-10-23,328.5
1987-10-30,323.3
1987-11-06,326.4
1987-11-13,323
1987-11-20,312.5
1987-11-27,316.5
1987-12-04,292.9
1987-12-11,302.6
1987-12-18,326.9
1987-12-24,333.2
1987-12-31,330.5
1988-01-08,338.5
1988-01-15,340.1
1988-01-22,337.6
1988-01-29,344.7
1988-02-05,345.8
1988-02-12,353.3
1988-02-19,357.1
1988-02-26,363.4
1988-03-04,373.4
1988-03-11,375.5
1988-03-18,381.6
1988-03-25,372.5
1988-03-31,374.6
1988-04-08,381.8
1988-04-15,373.9
1988-04-22,374
1988-04-29,379.2
1988-05-06,379.4
1988-05-13,372.5
1988-05-20,366
1988-05-27,366.7
1988-06-03,376.9
1988-06-10,386.3
1988-06-17,386.9
1988-06-24,391.6
1988-07-01,394.7
1988-07-08,394.3
1988-07-15,395
1988-07-22,387.4
1988-07-29,387.3
1988-08-05,387.7
1988-08-12,379
1988-08-19,377.4
1988-08-26,374.4
1988-09-02,376.5
1988-09-09,381.6
1988-09-16,383.9
1988-09-23,385
1988-09-30,387.7
1988-10-07,385.7
1988-10-14,384.6
1988-10-21,388.6
1988-10-28,382.8
1988-11-04,381
1988-11-11,373.8
1988-11-18,367.6
1988-11-25,366.4
1988-12-02,373.9
1988-12-09,375.2
1988-12-16,375.8
1988-12-23,377.3
1988-12-30,381.4
1989-01-06,384.7
1989-01-13,387.1
1989-01-20,391.7
1989-01-27,398
1989-02-03,406.4
1989-02-10,402.4
1989-02-17,407.2
1989-02-24,400
1989-03-03,404
1989-03-10,405.9
1989-03-17,402.2
1989-03-23,400.9
1989-03-31,406.7
1989-04-07,410.7
1989-04-14,417.7
1989-04-21,423.8
1989-04-28,427.6
1989-05-05,430.7
1989-05-12,434.8
1989-05-19,442.1
1989-05-26,445.2
1989-06-02,451.6
1989-06-09,453.7
1989-06-16,447.2
1989-06-23,448.4
1989-06-30,435.3
1989-07-07,442.4
1989-07-14,448.9
1989-07-21,449.3
1989-07-28,452.8
1989-08-04,457.4
1989-08-11,462.5
1989-08-18,462
1989-08-25,466.8
1989-09-01,471.3
1989-09-08,471.3
1989-09-15,467.6
1989-09-22,468.1
1989-09-29,472.9
1989-10-06,483.6
1989-10-13,467.3
1989-10-20,470.7
1989-10-27,452.8
1989-11-03,453
1989-11-10,456.2
1989-11-17,456.7
1989-11-24,456.6
1989-12-01,457.1
1989-12-08,456.2
1989-12-15,443.8
1989-12-22,444.6
1989-12-29,454.8
1990-01-05,458.2
1990-01-12,439.7
1990-01-19,440.9
1990-01-26,421.3
1990-02-02,422.2
1990-02-09,428.8
1990-02-16,429
1990-02-23,419.5
1990-03-02,431
1990-03-09,436.8
1990-03-16,442.2
1990-03-23,437.3
1990-03-30,435.5
1990-04-06,430.9
1990-04-12,436.3
1990-04-20,425.8
1990-04-27,418
1990-05-04,428.6
1990-05-11,438.1
1990-05-18,448.3
1990-05-25,453.7
1990-06-01,462.1
1990-06-08,460.9
1990-06-15,467.6
1990-06-22,459.3
1990-06-29,462.3
1990-07-06,460.5
1990-07-13,468.4
1990-07-20,455.3
1990-07-27,442.6
1990-08-03,417.5
1990-08-10,408
1990-08-17,393.5
1990-08-24,367.3
1990-08-31,381.2
1990-09-07,380.4
1990-09-14,374.4
1990-09-21,362.3
1990-09-28,344.5
1990-10-05,347.4
1990-10-12,327.6
1990-10-19,337.4
1990-10-26,334.4
1990-11-02,336.5
1990-11-09,342
1990-11-16,350.9
1990-11-23,349
1990-11-30,359.1
1990-12-07,371.5
1990-12-14,368.8
1990-12-21,373.6
1990-12-28,371.2
1991-01-04,367.2
1991-01-11,361.8
1991-01-18,377
1991-01-25,394.3
1991-02-01,417.7
1991-02-08,436.8
1991-02-15,448.7
1991-02-22,449
1991-03-01,456.7
1991-03-08,475.11
1991-03-15,466.29
1991-03-22,464.15
1991-03-28,482.3
1991-04-05,495.79
1991-04-12,501.62
1991-04-19,501.19
1991-04-26,494.64
1991-05-03,492.1
1991-05-10,493.42
1991-05-17,481.38
1991-05-24,492.67
1991-05-31,506.11
1991-06-07,498.54
1991-06-14,495.07
1991-06-21,485.82
1991-06-28,475.92
1991-07-05,474.05
1991-07-12,492.71
1991-07-19,497.55
1991-07-26,492.69
1991-08-02,505.67
1991-08-09,508.31
1991-08-16,512.47
1991-08-23,521.06
1991-08-30,525.68
1991-09-06,516.94
1991-09-13,516.71
1991-09-20,527.19
1991-09-27,524.48
1991-10-04,520.4
1991-10-11,519.05
1991-10-18,538.9
1991-10-25,525.13
1991-11-01,540.93
1991-11-08,548.08
1991-11-15,531.29
1991-11-22,526.46
1991-11-29,523.9
1991-12-06,536.3
1991-12-13,540.9
1991-12-20,535.76
1991-12-27,565.71
1992-01-03,592.65
1992-01-10,615.7
1992-01-17,626.85
1992-01-24,624.68
1992-01-31,620.21
1992-02-07,634.95
1992-02-14,636.43
1992-02-21,629.75
1992-02-28,633.47
1992-03-06,615.95
1992-03-13,618.62
1992-03-20,624.28
1992-03-27,604.67
1992-04-03,590.01
1992-04-10,584.24
1992-04-16,591.81
1992-04-24,572.89
1992-05-01,578.14
1992-05-08,585.76
1992-05-15,574.43
1992-05-22,580.3
1992-05-29,585.31
1992-06-05,585.43
1992-06-12,569.52
1992-06-19,554.2
1992-06-26,547.84
1992-07-02,563.35
1992-07-10,567.8
1992-07-17,570.52
1992-07-24,565.61
1992-07-31,580.83
1992-08-07,573.74
1992-08-14,573.18
1992-08-21,563.7
1992-08-28,563.56
1992-09-04,573.44
1992-09-11,583.01
1992-09-18,589.12
1992-09-25,577.2
1992-10-02,571.63
1992-10-09,570.52
1992-10-16,582.61
1992-10-23,597.3
1992-10-30,605.17
1992-11-06,616.82
1992-11-13,637.16
1992-11-20,642.6
1992-11-27,649.49
1992-12-04,661.6
1992-12-11,655.79
1992-12-18,661.29
1992-12-24,665.88
1992-12-31,676.95
1993-01-08,677.21
1993-01-15,697.15
1993-01-22,701.63
1993-01-29,696.34
1993-02-05,700.98
1993-02-12,690.54
1993-02-19,663.61
1993-02-26,670.77
1993-03-05,681.37
1993-03-12,692.78
1993-03-19,682.72
1993-03-26,681.54
1993-04-02,669.85
1993-04-08,666.33
1993-04-16,666.78
1993-04-23,658.41
1993-04-30,661.42
1993-05-07,681.44
1993-05-14,676.37
1993-05-21,694.29
1993-05-28,700.53
1993-06-04,702.01
1993-06-11,693.19
1993-06-18,689.59
1993-06-25,694.81
1993-07-02,704.49
1993-07-09,705.81
1993-07-16,699.73
1993-07-23,700.24
1993-07-30,704.7
1993-08-06,718.08
1993-08-13,718.26
1993-08-20,730.96
1993-08-27,734.07
1993-09-03,749.71
1993-09-10,744.31
1993-09-17,740.11
1993-09-24,754.65
1993-10-01,763.23
1993-10-08,764.27
1993-10-15,787.42
1993-10-22,772.68
1993-10-29,779.26
1993-11-05,762.99
1993-11-12,779.32
1993-11-19,751.56
1993-11-26,754.87
1993-12-03,772.22
1993-12-10,760.74
1993-12-17,759.23
1993-12-23,758.7
1993-12-31,776.8
1994-01-07,782.94
1994-01-14,792.31
1994-01-21,794.28
1994-01-28,796.53
1994-02-04,777.28
1994-02-11,781.39
1994-02-18,788.85
1994-02-25,783.78
1994-03-04,790.55
1994-03-11,789.2
1994-03-18,803.93
1994-03-25,783.45
1994-03-31,743.46
1994-04-08,748.71
1994-04-15,727.97
1994-04-22,722.56
1994-04-29,733.84
1994-05-06,732.86
1994-05-13,716.92
1994-05-20,726.7
1994-05-27,733.14
1994-06-03,742.38
1994-06-10,734.25
1994-06-17,729.35
1994-06-24,693.79
1994-07-01,706.85
1994-07-08,707.46
1994-07-15,721.36
1994-07-22,716.68
1994-07-29,722.16
1994-08-05,718.67
1994-08-12,731.61
1994-08-19,742.43
1994-08-26,762.94
1994-09-02,759.23
1994-09-09,763.73
1994-09-16,777.91
1994-09-23,757.46
1994-09-30,764.29
1994-10-07,749.96
1994-10-14,767.08
1994-10-21,765.38
1994-10-28,776.15
1994-11-04,766.08
1994-11-11,762.12
1994-11-18,764.67
1994-11-25,742.52
1994-12-02,745.02
1994-12-09,719.05
1994-12-16,729.07
1994-12-23,742.19
1994-12-30,751.96
1995-01-06,749.69
1995-01-13,762.16
1995-01-20,762.05
1995-01-27,758.91
1995-02-03,772.06
1995-02-10,790.43
1995-02-17,786.97
1995-02-24,791.08
1995-03-03,798.79
1995-03-10,802.22
1995-03-17,808.33
1995-03-24,818.66
1995-03-31,817.21
1995-04-07,814.69
1995-04-13,832.64
1995-04-21,823.44
1995-04-28,843.98
1995-05-05,843.53
1995-05-12,858.94
1995-05-19,864.57
1995-05-26,871.87
1995-06-02,872.97
1995-06-09,884.38
1995-06-16,908.65
1995-06-23,938.87
1995-06-30,933.45
1995-07-07,969.76
1995-07-14,999.33
1995-07-21,961.77
1995-07-28,1005.28
1995-08-04,991.09
1995-08-11,1004.11
1995-08-18,1031.28
1995-08-25,1019.97
1995-09-01,1019.47
1995-09-08,1060.03
1995-09-15,1051.1
1995-09-22,1053.39
1995-09-29,1043.54
1995-10-06,1012.04
1995-10-13,1018.38
1995-10-20,1039.53
1995-10-27,1025.55
1995-11-03,1065.66
1995-11-10,1063.87
1995-11-17,1045.03
1995-11-24,1030.17
1995-12-01,1055.31
1995-12-08,1062.41
1995-12-15,1030.48
1995-12-22,1046.89
1995-12-29,1052.13
1996-01-05,1033.47
1996-01-12,1008.23
1996-01-19,1018.45
1996-01-26,1040.96
1996-02-02,1072.11
1996-02-09,1094.6
1996-02-16,1090.71
1996-02-23,1117.79
1996-03-01,1086.08
1996-03-08,1063.73
1996-03-15,1099.59
1996-03-22,1102.22
1996-03-29,1101.4
1996-04-04,1118.21
1996-04-12,1100.94
1996-04-19,1138.7
1996-04-26,1186.89
1996-05-03,1184.6
1996-05-10,1202.76
1996-05-17,1241.88
1996-05-24,1247.8
1996-05-31,1243.43
1996-06-07,1229.76
1996-06-14,1213.18
1996-06-21,1175.44
1996-06-28,1185.02
1996-07-05,1158.35
1996-07-12,1103.49
1996-07-19,1097.68
1996-07-26,1079.44
1996-08-02,1124.92
1996-08-09,1137.27
1996-08-16,1133.65
1996-08-23,1143.05
1996-08-30,1141.5
1996-09-06,1139.39
1996-09-13,1188.67
1996-09-20,1219.69
1996-09-27,1230.05
1996-10-04,1247.56
1996-10-11,1248.27
1996-10-18,1242.48
1996-10-25,1222.6
1996-11-01,1221.78
1996-11-08,1257.51
1996-11-15,1261.8
1996-11-22,1274.36
1996-11-29,1292.61
1996-12-06,1287.68
1996-12-13,1284.91
1996-12-20,1288.56
1996-12-27,1291.38
1997-01-03,1310.68
1997-01-10,1332.02
1997-01-17,1349.05
1997-01-24,1363.83
1997-01-31,1379.85
1997-02-07,1357.71
1997-02-14,1367.19
1997-02-21,1334.32
1997-02-28,1309
1997-03-07,1311.8
1997-03-14,1292.97
1997-03-21,1254.07
1997-03-27,1249.51
1997-04-04,1236.73
1997-04-11,1206.9
1997-04-18,1222.57
1997-04-25,1209.29
1997-05-02,1305.33
1997-05-09,1335.05
1997-05-16,1340.73
1997-05-23,1389.72
1997-05-30,1400.32
1997-06-06,1404.84
1997-06-13,1423.03
1997-06-20,1447.1
1997-06-27,1438.15
1997-07-03,1467.61
1997-07-11,1502.62
1997-07-18,1547.99
1997-07-25,1569.58
1997-08-01,1594.33
1997-08-08,1598.52
1997-08-15,1562.03
1997-08-22,1598.69
1997-08-29,1587.32
1997-09-05,1635.77
1997-09-12,1649.33
1997-09-19,1680.36
1997-09-26,1682.24
1997-10-03,1715.87
1997-10-10,1739.03
1997-10-17,1666.85
1997-10-24,1650.92
1997-10-31,1593.61
1997-11-07,1602.4
1997-11-14,1583.51
1997-11-21,1620.75
1997-11-28,1600.55
1997-12-05,1633.9
1997-12-12,1536.58
1997-12-19,1524.74
1997-12-26,1511.38
1998-01-02,1581.53
1998-01-09,1503.22
1998-01-16,1562.88
1998-01-23,1575.93
1998-01-30,1619.36
1998-02-06,1694.35
1998-02-13,1710.42
1998-02-20,1728.13
1998-02-27,1770.51
1998-03-06,1753.49
1998-03-13,1771.66
1998-03-20,1789.16
1998-03-27,1823.62
1998-04-03,1855.4
1998-04-09,1820.24
1998-04-17,1866.6
1998-04-24,1868.96
1998-05-01,1873.44
1998-05-08,1864.37
1998-05-15,1846.77
1998-05-22,1805
1998-05-29,1778.87
1998-06-05,1782.92
1998-06-12,1745.05
1998-06-19,1781.29
1998-06-26,1869.53
1998-07-02,1894
1998-07-10,1943.04
1998-07-17,2008.76
1998-07-24,1930.99
1998-07-31,1872.39
1998-08-07,1846.77
1998-08-14,1790.19
1998-08-21,1797.61
1998-08-28,1639.68
1998-09-04,1566.52
1998-09-11,1641.64
1998-09-18,1663.77
1998-09-25,1743.59
1998-10-02,1614.98
1998-10-09,1492.49
1998-10-16,1620.95
1998-10-23,1693.86
1998-10-30,1771.39
1998-11-06,1856.56
1998-11-13,1847.99
1998-11-20,1928.21
1998-11-27,2016.44
1998-12-04,2003.16
1998-12-11,2029.31
1998-12-18,2086.14
1998-12-24,2163.04
1998-12-31,2192.69
1999-01-08,2344.41
1999-01-15,2348.2
1999-01-22,2338.88
1999-01-29,2505.89
1999-02-05,2373.62
1999-02-12,2321.89
1999-02-19,2283.6
1999-02-26,2288.03
1999-03-05,2337.11
1999-03-12,2381.53
1999-03-19,2421.27
1999-03-26,2419.17
1999-04-01,2493.37
1999-04-09,2593.05
1999-04-16,2484.04
1999-04-23,2590.69
1999-04-30,2542.85
1999-05-07,2503.62
1999-05-14,2527.86
1999-05-21,2520.14
1999-05-28,2470.52
1999-06-04,2478.34
1999-06-11,2447.88
1999-06-18,2563.44
1999-06-25,2552.65
1999-07-02,2741.02
1999-07-09,2793.07
1999-07-16,2864.48
1999-07-23,2692.4
1999-07-30,2638.49
1999-08-06,2547.97
1999-08-13,2637.81
1999-08-20,2648.33
1999-08-27,2758.9
1999-09-03,2843.11
1999-09-10,2887.06
1999-09-17,2869.62
1999-09-23,2749.83
1999-10-01,2736.85
1999-10-08,2886.57
1999-10-15,2731.83
1999-10-22,2816.52
1999-10-29,2966.43
1999-11-05,3102.29
1999-11-12,3191.08
1999-11-19,3369.25
1999-11-26,3447.81
1999-12-03,3520.63
1999-12-10,3620.24
1999-12-17,3753.06
1999-12-23,3969.44
1999-12-31,4069.31
2000-01-07,3882.62
2000-01-14,4064.27
2000-01-21,4235.4
2000-01-28,3887.07
2000-02-04,4244.14
2000-02-11,4395.45
2000-02-18,4411.74
2000-02-25,4590.5
2000-03-03,4914.79
2000-03-10,5048.62
2000-03-17,4798.13
2000-03-24,4963.03
2000-03-31,4572.83
2000-04-07,4446.45
2000-04-14,3321.29
2000-04-20,3643.88
2000-04-28,3860.66
2000-05-05,3816.82
2000-05-12,3529.06
2000-05-19,3390.4
2000-05-26,3205.11
2000-06-02,3813.38
2000-06-09,3874.84
2000-06-16,3860.56
2000-06-23,3845.34
2000-06-30,3966.11
2000-07-07,4023.2
2000-07-14,4246.18
2000-07-21,4094.45
2000-07-28,3663
2000-08-04,3787.36
2000-08-11,3789.47
2000-08-18,3930.34
2000-08-25,4042.68
2000-09-01,4234.33
2000-09-08,3978.41
2000-09-15,3835.23
2000-09-22,3803.76
2000-09-29,3672.82
2000-10-06,3361.01
2000-10-13,3316.77
2000-10-20,3483.14
2000-10-27,3278.36
2000-11-03,3451.58
2000-11-10,3028.99
2000-11-17,3027.19
2000-11-24,2904.38
2000-12-01,2645.29
2000-12-08,2917.43
2000-12-15,2653.27
2000-12-22,2517.02
2000-12-29,2470.52
2001-01-05,2407.65
2001-01-12,2626.5
2001-01-19,2770.38
2001-01-26,2781.3
2001-02-02,2660.5
2001-02-09,2470.97
2001-02-16,2425.38
2001-02-23,2262.51
2001-03-02,2117.63
2001-03-09,2052.78
2001-03-16,1890.91
2001-03-23,1928.68
2001-03-30,1840.26
2001-04-06,1720.36
2001-04-12,1961.43
2001-04-20,2163.41
2001-04-27,2075.68
2001-05-04,2191.53
2001-05-11,2107.43
2001-05-18,2198.83
2001-05-25,2251.03
2001-06-01,2149.44
2001-06-08,2215.1
2001-06-15,2028.43
2001-06-22,2034.84
2001-06-29,2160.54
2001-07-06,2004.16
2001-07-13,2084.79
2001-07-20,2029.37
2001-07-27,2029.07
2001-08-03,2066.33
2001-08-10,1956.47
